Reading #,Fixed Voltage (V),Tracking Voltage (V)
1,6.5,6.99
2,6.5,7.01
3,6.5,7.01
4,6.5,6.99
5,6.48,7.04
6,6.48,7.06
7,6.48,7.11
8,6.5,7.21
9,6.5,7.28
10,6.5,7.31
11,6.52,7.33
12,6.52,7.33
13,6.52,7.33
14,6.52,7.33
15,6.52,7.33
16,6.52,7.33
17,6.55,7.31
18,6.55,7.31
19,6.52,7.31
20,6.55,7.33
21,6.55,7.31
22,6.55,7.31
23,6.55,7.31
24,6.55,7.31
25,6.52,7.31
26,6.52,7.31
27,6.52,7.31
28,6.52,7.31
29,6.5,7.31
30,6.5,7.28
31,6.5,7.28
32,6.5,7.28
33,6.5,7.28
34,6.5,7.28
35,6.52,7.28
36,6.5,7.28
37,6.5,7.28
38,6.5,7.28
39,6.5,7.26
40,6.5,7.26
41,6.5,7.28
42,6.5,7.28
43,6.48,7.26
44,6.45,7.28
45,6.45,7.26
46,6.43,7.26
47,6.4,7.26
48,6.38,7.26
49,6.35,7.26
50,6.33,7.23
51,6.33,7.26
52,6.33,7.23
53,6.33,7.26
54,6.33,7.26
55,6.33,7.23
56,6.33,7.21
57,6.3,7.18
58,6.3,7.16
59,6.3,7.11
60,6.3,7.09
61,6.33,7.09
62,6.3,7.11
63,6.3,7.14
64,6.33,7.16
65,6.33,7.16
66,6.28,7.18
67,6.3,7.18
68,6.3,7.21
69,6.3,7.18
70,6.33,7.16
71,6.33,7.11
72,6.33,7.06
73,6.3,7.06
74,6.3,7.04
75,6.3,7.06
76,6.3,7.04
77,6.33,6.99
78,6.33,7.01
79,6.3,7.04
80,6.3,7.06
81,6.33,7.09
82,6.33,7.09
83,6.33,7.11
84,6.33,7.14
85,6.3,7.16
86,6.3,7.18
87,6.33,7.18
88,6.3,7.16
89,6.33,7.14
90,6.3,7.14
91,6.3,7.09
92,6.3,7.09
93,6.3,7.04
94,6.33,6.96
95,6.3,6.92
96,6.33,6.89
97,6.3,6.87
98,6.33,6.84
99,6.33,6.82
100,6.33,6.82
101,6.3,6.82
102,6.33,6.82
103,6.33,6.82
104,6.3,6.79
105,6.3,6.82
106,6.3,6.79
107,6.33,6.77
108,6.3,6.77
109,6.33,6.77
110,6.3,6.77
111,6.33,6.77
112,6.33,6.77
113,6.33,6.79
114,6.3,6.77
115,6.33,6.77
116,6.33,6.77
117,6.3,6.74
118,6.33,6.77
119,6.3,6.77
120,6.3,6.77
121,6.3,6.77
122,6.33,6.77
123,6.3,6.77
124,6.3,6.79
125,6.3,6.79
126,6.3,6.82
127,6.3,6.84
128,6.3,6.82
129,6.3,6.82
130,6.3,6.77
131,6.3,6.77
132,6.3,6.74
133,6.33,6.77
134,6.3,6.74
135,6.33,6.77
136,6.3,6.77
137,6.3,6.74
138,6.3,6.77
139,6.33,6.74
140,6.3,6.74
141,6.3,6.74
142,6.33,6.77
143,6.33,6.77
144,6.3,6.77
145,6.3,6.79
146,6.3,6.82
147,6.3,6.87
148,6.33,6.89
149,6.33,6.92
150,6.33,6.89
151,6.33,6.87
152,6.3,6.84
153,6.33,6.82
154,6.3,6.82
155,6.3,6.82
156,6.3,6.82
157,6.3,6.82
158,6.3,6.82
159,6.3,6.79
160,6.3,6.79
161,6.33,6.79
162,6.3,6.77
163,6.3,6.74
164,6.3,6.74
165,6.33,6.74
166,6.3,6.74
167,6.3,6.72
168,6.3,6.74
169,6.3,6.72
170,6.33,6.72
171,6.33,6.72
172,6.33,6.72
173,6.3,6.72
174,6.3,6.72
175,6.33,6.72
176,6.33,6.7
177,6.33,6.7
178,6.33,6.72
179,6.33,6.72
180,6.3,6.72
181,6.3,6.72
182,6.3,6.74
183,6.33,6.74
184,6.33,6.74
185,6.33,6.74
186,6.33,6.77
187,6.3,6.82
188,6.3,6.82
189,6.33,6.79
190,6.33,6.82
191,6.3,6.79
192,6.3,6.82
193,6.3,6.82
194,6.33,6.84
195,6.33,6.84
196,6.33,6.89
197,6.33,6.96
198,6.33,7.04
199,6.33,7.01
200,6.33,6.96
201,6.33,6.89
202,6.33,6.82
203,6.33,6.74
204,6.33,6.72
205,6.33,6.72
206,6.33,6.72
207,6.35,6.72
208,6.33,6.72
209,6.35,6.72
210,6.35,6.72
211,6.35,6.67
212,6.33,6.67
213,6.35,6.67
214,6.33,6.67
215,6.35,6.65
216,6.35,6.65
217,6.33,6.65
218,6.35,6.67
219,6.38,6.65
220,6.4,6.65
221,6.43,6.65
222,6.45,6.62
223,6.5,6.62
224,6.52,6.62
225,6.57,6.6
226,6.6,6.62
227,6.6,6.62
228,6.6,6.6
229,6.62,6.6
230,6.62,6.6
231,6.6,6.6
232,6.6,6.62
233,6.57,6.62
234,6.57,6.6
235,6.57,6.6
236,6.57,6.6
237,6.57,6.6
238,6.55,6.62
239,6.57,6.6
240,6.57,6.57
241,6.55,6.6
242,6.55,6.6
243,6.57,6.6
244,6.57,6.57
245,6.57,6.57
246,6.6,6.57
247,6.6,6.6
248,6.6,6.6
249,6.6,6.57
250,6.57,6.55
251,6.57,6.55
252,6.57,6.55
253,6.57,6.57
254,6.57,6.55
255,6.57,6.55
256,6.55,6.55
257,6.55,6.57
258,6.55,6.55
259,6.55,6.55
260,6.57,6.55
261,6.57,6.55
262,6.57,6.57
263,6.55,6.57
264,6.57,6.55
265,6.55,6.57
266,6.55,6.55
267,6.52,6.55
268,6.52,6.55
269,6.55,6.55
270,6.57,6.55
271,6.57,6.57
272,6.57,6.55
273,6.57,6.55
274,6.55,6.57
275,6.55,6.57
276,6.55,6.57
277,6.55,6.57
278,6.55,6.57
279,6.57,6.57
280,6.55,6.57
281,6.55,6.57
282,6.55,6.55
283,6.57,6.57
284,6.57,6.57
285,6.55,6.6
286,6.57,6.57
287,6.55,6.57
288,6.55,6.57
289,6.55,6.6
290,6.55,6.57
291,6.55,6.6
292,6.52,6.57
293,6.55,6.57
294,6.55,6.57
295,6.55,6.57
296,6.52,6.55
297,6.55,6.55
298,6.55,6.57
299,6.57,6.57
300,6.55,6.55
301,6.57,6.57
302,6.57,6.57
303,6.57,6.57
304,6.57,6.57
305,6.57,6.57
306,6.55,6.57
307,6.55,6.55
308,6.55,6.57
309,6.57,6.57
310,6.55,6.57
311,6.55,6.57
312,6.57,6.57
313,6.57,6.57
314,6.57,6.57
315,6.55,6.6
316,6.55,6.57
317,6.55,6.57
318,6.57,6.57
319,6.57,6.57
320,6.57,6.57
321,6.55,6.57
322,6.57,6.6
323,6.57,6.6
324,6.6,6.6
325,6.6,6.6
326,6.62,6.62
327,6.6,6.62
328,6.57,6.6
329,6.57,6.62
330,6.6,6.62
