sample_id,test_type,date,time,weather,TL,TR,BL,BR,Lavg,Ravg,Herror,hPos_deg,vPos_deg,voltage_V,notes
1,fixed,2026-05-21,14:20,clear,0,0,0,0,0,0,0,90,50,6.50,fixed-position reference
2,fixed,2026-05-21,14:21,clear,0,0,0,0,0,0,0,90,50,6.48,fixed-position reference
3,fixed,2026-05-21,14:22,clear,0,0,0,0,0,0,0,90,50,6.52,fixed-position reference
4,fixed,2026-05-21,14:23,clear,0,0,0,0,0,0,0,90,50,6.33,fixed-position reference
5,fixed,2026-05-21,14:24,clear,0,0,0,0,0,0,0,90,50,6.33,fixed-position reference
6,fixed,2026-05-21,14:25,clear,0,0,0,0,0,0,0,90,50,6.57,fixed-position reference
7,fixed,2026-05-21,14:26,clear,0,0,0,0,0,0,0,90,50,6.35,fixed-position reference
8,fixed,2026-05-21,14:27,clear,0,0,0,0,0,0,0,90,50,6.55,fixed-position reference
9,fixed,2026-05-21,14:28,clear,0,0,0,0,0,0,0,90,50,6.40,fixed-position reference
10,tracking,2026-05-21,14:20,clear,9,11,12,15,10,13,-3,93,47,6.99,dual-axis active
11,tracking,2026-05-21,14:21,clear,8,11,11,14,9,12,-3,96,44,7.01,dual-axis active
12,tracking,2026-05-21,14:22,clear,9,10,12,14,10,12,-2,96,41,7.01,dual-axis active
13,tracking,2026-05-21,14:23,clear,9,11,12,15,10,13,-3,99,38,6.99,dual-axis active
14,tracking,2026-05-21,14:24,clear,9,11,13,13,11,12,-1,99,35,7.04,dual-axis active
15,tracking,2026-05-21,14:25,clear,11,12,9,10,10,11,-1,96,17,6.82,dual-axis active
16,tracking,2026-05-21,14:26,clear,10,9,10,10,10,9,1,102,20,7.01,dual-axis active
17,tracking,2026-05-21,14:27,clear,14,14,13,14,13,14,-1,120,35,6.57,dual-axis active
18,tracking,2026-05-21,14:28,clear,12,12,13,13,12,12,0,120,32,6.72,dual-axis active
19,tracking,2026-05-21,14:29,clear,14,14,13,14,13,14,-1,120,32,6.60,dual-axis active
20,tracking,2026-05-21,14:30,clear,14,14,13,13,13,13,0,123,35,6.60,dual-axis active
21,tracking,2026-05-21,14:31,clear,11,8,11,12,11,10,1,123,32,6.94,dual-axis active
